"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
2,Union News Daily,"Clark (Urban), Cranford (Suburban),  Elizabeth (Urban), Hillside (Urban), Kenilworth (Suburban), Linden (Urban), Mountainside (Suburban), Rahway (Urban), Roselle (Urban), Roselle Park (Urban), Springfield (Suburban), Summit (Urban) and Union (Suburban)","Clark, Cranford,  Elizabeth, Hillside, Kenilworth, Linden, Mountainside, Rahway, Roselle, Roselle Park, Springfield, Summit, Union",Urban,http://unionnewsdaily.com,2,1,"Worrall Community Newspapers, Inc.",1,2,2,9,,,
"5, 15, 19, 2","Upper Township Gazette, The",Cape May,Cape May,,https://www.pressofatlanticcity.com/currents_gazettes/upper_township/,2,1,Lee Enterprises,1,2,2,9,,,
16,Urdu News,9,9,9,http://thepakistaninewspaper.com/,2,1,Independently owned (Moshin Zaheer),"7 (1, 6 (Urdu))",1,2,1,,,
"5, 15, 19, 2",Vailsburg Leader,Newark,Newark,Urban,9,2,1,"Worrall Community Newspapers, Inc.",1,2,2,9,https://worrall-media.business.site/,,
"5, 15, 2, 1","Vector, The",Newark,Newark,Urban,http://thevector.njit.edu,2,1,NJIT,1,2,2,9,,,
"5, 1, 2",Viking News,Toms River,Toms River,Urban,https://occvikingnews.org/,2,1,Ocean County College,1,2,2,9,,,
"5, 13, 2","Village Green, The",South  Orange (Urban)-Maplewood (Urban),"South Orange, Maplewood",Urban,http://www.villagegreennj.com/,1,4,Independently owned (Mary Mann and Carolyn Parisi),1,2,2,9,,,
5,Visions Newspaper,Paterson,Paterson,Urban,https://www.visionsnewspaper.com/,4,1,Pasaic County Community College,1,2,2,9,,,
2,"Voice Online, The",Vineland,Vineland,Urban,https://cccvoice.wordpress.com/,2,1,Cumberland County College,1,2,2,9,,,
"1, 2","Voorhees Sun, The","Voorhees Township (Suburban) ,  Evesham Township (Suburban), Glendale (Suburban)","Voorhees Township,  Evesham Township, Glendale",Suburban,https://thesunpapers.com/voorhees-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"6, 2",WABC-TV,"Sussex, Passaic, Bergen, Essex, Union, Morris, Warren, Hunterdon, Somerset, Middlessex, Mercer, Monmouth, Burlington, and Ocean Counties",9,9,https://abc7ny.com/new-jersey/,1,2,ABC/Disney,1,2,2,1,,,
"6, 2",WABT-FM,"Sussex County/ Urban (0), Suburban (3), Rural (21)",Sussex County,Rural,https://pocono967.com/,1,3,Neversink Media Group LLC,1,2,2,1,they have local news segments in the morning,,
"5, 6, 2",WACP-TV,9,9,9,9,1,2,Wastern Pacific Broadcast LLC,1,2,2,9, (Radio Cata); http://www.wpbroadcast.com/wacp,,
"5, 2",WADB-AM,"Middlesex, Monmouth, Ocean, Atlantic, and Cape May counties",9,9,https://mybeachradio.com/,1,3,"Townsquare Media, Inc.",1,2,2,9,,,
"1, 11, 12, 2","Wall Street Journal, The",9,9,9,https://www.wsj.com/,1,1,Dow Jones Publications,1,2,2,1,,,
2,Warren Monthly,Warren,Warren,Urban,https://rennamedia.com/publications/warren-monthly/,4,1,Renna Media,1,2,2,9,,,
"18, 2","Washington Twp Sun, The","Wahington Township (Suburban), Deptford (Suburban)","Wahington Township, Deptford",Suburban,https://thesunpapers.com/washington-twp-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,Watchung Post,Watchung,Watchung,Suburban,https://rennamedia.com/publications/watchung-post/,4,1,Renna Media,1,2,2,9,,,
2,Wayne Life (My Paper Online),Wayne,Wayne,Suburban,https://www.mypaperonline.com/category/hometown-wayne,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"5, 2",WAYV-FM,Atlantic City,Atlantic City,Urban,https://www.951wayv.com/,1,3,Equity Communications,1,2,2,9,(same as WAIV-FM),,
"6, 2",WBCB-AM,Trenton,Trenton,Urban,http://www.wbcbnews.com/,1,3,Progressive Broadcasting Corporation,1,2,2,1,,,
"5, 2, 6, 16",WBGO-FM,"Hudson/Urban (12), Suburban (0), Rural (0) , Bergen/ Urban (46), Suburban (20), Rural (0), Essex/ Urban (13), Suburban (9), Rural (0), and Union/ Urban (11), Suburban (10), Rural (0) counties","Hudson County, Bergen County, Essex County, Union County",Urban,https://www.wbgo.org/category/news,1,3,"Newark Public Radio, Inc.",1,1,1,9,,,
"15, 14, 6, 2",WCAU-TV,"Cumberland, Salem, Atlantic, Gloucester, Camden, Burlinngton, Ocean, Monmouth, Middlesexx, Mercer, Somerset, Union, Hundterdon, Morris, and Warren Counties",9,9,https://www.nbcphiladelphia.com/,1,2,Comcast/NBC,1,2,2,1,,,
"5, 6, 2",WCHR-AM,"Middlesex, Monmouth, Ocean, Atlantic, and Cape May, Essex, Cumberland, Morris, Warren, Hunterdon, Mercer, Somerset, Burlington and Salem counties",9,9,https://1057thehawk.com/,1,3,Equity Communications,1,2,2,9,,,
18,WCMD,Camden,Camden,Urban,9,1,3,Camden African Neighborhood Development Organization,1,1,2,9,https://www.courierpostonline.com/story/news/local/south-jersey/2019/01/29/camden-nj-wcmd-radio-station-online-spotify-stitcher-anchor-pocketcasts/2548414002/,,
16,WCNU,Bridgeton (Urban) and Vineland (Urban),"Bridgeton, Vineland",Urban,9,1,3,The Farmworker Support Committee,2,1,2,9,http://radiocata.com/listen/,,
"5, 2, 6",WCTC-AM,"Middlesex/ Urban (9), Suburban (15), Rural (1), Somerset/ Urban (4), Suburban (13), Rural (2), and Union/ Urban (11), Suburban (10), Rural (0) counties","Middlesex County, Somerset County, Union County",Suburban,https://wctcam.com/,1,3,"Beasley Media Group, LLC",1,2,2,9,,,
"5, 2",WCVH-FM,"Huntderdon/ Urban (1), Suburban (1), Rural (24)",Huntderdon County,Rural,http://wcvhfm.weebly.com/news.html,1,3,"Beasley Media Group, LLC",1,2,2,9,,,
"5, 2",WCZT-FM,Wildwood,Wildwood,Urban,http://987thecoast.com/,1,3,Coastal Broadcasting Systems,1,2,2,9,,,
6,WDPN-TV,9,9,9,9,1,2,Maranatha Broadcasting Company Inc,1,2,2,1,see https://metv2.com/jersey-matters/,,
"5, 2",WDVR-FM,"Middlesex, Essex, Warren, Morris, Sussex,Union, and Burlington Counties","Middlesex County, Essex County, Warren County, Morris County, Sussex County, Union County, Burlington County",9,https://www.pennjerseyradio.org/,1,3,Penn-Jersey Educational Radio Corp,1,2,1,9,,,
5,WEHA-FM,"Atlantic, Ocean, Burlington, Gloucester, and Camden counties","Atlantic County, Ocean County, Burlington County, Gloucester County, Camden County",9,https://www.wehavegospel.com/,1,3,Independently owned (William and Elaine Hawkes),1,1,2,9,,,
"17, 5, 19, 15, 2, 1",West Essex Tribune,Livingston,Livingston,Suburban,https://www.westessextribune.net/,2,1,Independently owned (?),1,2,2,9,,,
"15, 19, 1, 2, 12",West Milford Messenger,West Milford Township (suburban),West Milford Township,Suburban,http://www.westmilfordmessenger.com/,2,1,Straus News,1,2,2,9,,,
"5, 15, 19, 2, 1",West Orange Chronicle,West Orange,West Orange,Suburban,9,2,1,Essex News Daily,1,2,2,9,"bought by Essex News Daily and only in print, no online; woman in subscriptions said only the front page is about W Orange and inside is same as others mostly about the county; it's a ghost paper basically; http://www.essexnewsdaily.com",,
2,West Orange News/West Orange Life,West Orange,West Orange,Suburban,https://www.mypaperonline.com/category/west-orange-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"18, 2",West Windsor-Plainsboro News,"West Windsor (Suburban), Plainsboro (Suburban)","West Windsor, Plainsboro",Suburban,https://communitynews.org/west-windsor-news/,4,1,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"17, 5, 15, 18, 19, 2, 12, 1","Westfield Leader, The",Westfield,Westfield,Suburban,https://www.goleader.com/,2,1,"Independently owned (Watchung Communications, Inc)",1,2,2,9,has a printed edition and a pdf edition as well,,
"6, 16, 2",WFMZ-TV,"Warren, Hunterdon, Mercer, Burlington, Camden, and Gloucester counties",9,9,http://www.wfmz.com/,1,2,Maranatha Broadcasting Company Inc,"7 (1, 2)",2,2,1,"""WFMZ-TV programs 93 live half-hours of original local news each week. This equals over 2,416 hours of local news, weather, traffic and sports each year. To serve the Hispanic community, WFMZ-TV employs a full Hispanic news department, which produces a Spanish-language newscast each weeknight at 11pm airing on 69.1. WFMZ-TV has a seasoned team of award winning news journalists that viewers in our area depend on for local and regional election coverage, school closings, and live reports when news happens. ... We also provide the local community with news and information on wfmz.com and our Smartphone Apps. These include our news app, weather app and 69 WFMZ Live app. News is continuously updated throughout the day to serve the needs of the community.""",,
"6, 16",WFPA-CD,"Gloucester/ Urban (2), Suburban (14), Rural (13), Camden/ Urban (14). Suburban (21), Rural (2) , Burlington/ Urban (10), Suburban (12), Rural (17) and Salem/ Urban (0), Suburban (2), Rural (13) counties","Gloucester County, Camden County, Burlington County, Salem County",Suburban,https://www.univision.com/local/philadelphia-wuvp,1,2,Univision,2,1,2,1,,,
"5, 6, 2",WFPG-FM,"Cape May, Cumberland, Atlantic, Burlington, and Ocean counties","Cape May County, Cumberland County, Atlantic County, Burlington County, Ocean County",9,https://literock969.com/,1,3,"Townsquare Media (Atlantic City License, LLC)",1,2,2,9,not hard local news per se but infomration about upcoming cultural events and employment stories and listings (i.e. other types of civic info),,
"5, 6, 16, 2",WFUT-DT,Newark,Newark,Urban,9,1,2,Univision,2,1,2,9,"hispanic station owned by Univision Communications, along with WFTY-DT Smithtown, New York and WXTV-DT Paterson, New Jersey; http://www.stationindex.com/tv/callsign/WFUT",,
"5, 2",WGHT-AM,"Union, Passaic, Hudson, Essex, Sussex, Bergen, and Morris COunties",9,9,https://www.wghtradio.com/,1,3,Municiple ownership (Borough of Pompton Lakes),1,2,2,9,"""The Jimmy Howes & Greta Latona  Morning Show, is an information driven, entertainment experience that offers listeners award winning local news, national news updates from the Associated Press, local Northern New Jersey current events and a ton of fun!  You get traffic updates specifically tailored for North Jersey commuters at least four times an hour, plus the latest weather & sports, along with compelling celebrity interviews, contests, prizes and the Best Oldies in the Universe.""",,
"5, 2",WGLS-FM,"Burlington,Camden, Gloucester, Salem, Cumberland, and Atlantic counties",9,9,https://wgls.rowan.edu/,1,3,Independently owned (Rowan University Board of Trustees),1,2,1,9,"""Twenty-four hours a day a staff of students and civic volunteers broadcast a variety of musical, cultural, educational, entertaining and informative programs of interest to the Rowan University and the surrounding communities.""",,
"5, 15, 2, 1","Whit Online, The",Glassboro ,Glassboro ,Suburban,http://www.thewhitonline.com,2,1,Independently owned (Rowan University Board of Trustees),1,2,2,9,Rowan's campus newspaper,,
"5, 16",WHWH-AM,Trenton (Urban) /Princeton (Suburban),"Trenton, Princeton",6,http://www.radiowttm1680.com/index_files/Page447.htm,1,3,Multicultural Radio Broadcasting Inc.,2,1,2,1,same ownership as WTTM La Unika,,
"5, 15, 14, 6, 2",WHYY-FM,"Salem, Gloucester, Camden, Burlington, Ocean, Cumberland, Atlantic, Cape May, Ocean, Montmouth, Middlesex, Somerset, Mercer, Hunterdon, and Warren Counties",9,9,https://whyy.org/news/,1,3,WHYY Inc,1,2,1,1,,,
"5, 2",WIFI-AM,"Hunterdon, Mercer, Somerset, Middlesex, Monmouth, Ocean, Burlington, Camden, Gloucester, Cumberland, and Atlantic counties",9,9,http://www.wifiam1460.com/index.php,1,3,Independently owned ,1,2,2,9,not a news outlet but has christian and conservative talk contnet,,
18,"Williamstown Sun, The",Williamstown,Williamstown,Suburban,https://medium.com/the-williamstown-sun,1,4,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"5, 2, 1, 16",WIMG-AM,Trenton,Trenton,Urban,http://wimg1300.com/index.html#.XSTOH5NKg5s,1,3,Morris Broadcasting Company,1,1,2,9,,,
"5, 15, 19, 1, 12, 2",Windsor-Hights Herald,"East Windsor (Suburban), Hightstown (Rural)","East Windsor, Hightstown",6,https://centraljersey.com/windsor-hights-herald/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,a Central Jersey.com pub,,
5,Wired Jersey,Montclair,Montclair,Urban,http://www.wiredjersey.com/,6,4,Montclair State University,1,2,2,9,an MSU pub; basically the showcase for Steve McCarthy's video journ class,,
"5, 6, 2",WJLK-FM,"Monmouth/ Urban (2), Suburban (39), Rural (6) and Ocean/ Urban (1), Suburban (22), Rural (10)","Monmouth County, Ocean County",Suburban,https://943thepoint.com/category/news/,1,3,Townsquare Media / Popcrush Media),1,2,2,9,"can barely call it news but a lot of culture, crime, and weather info for shore-goers",,
"5, 2",WJSE-FM,"Salem, Cumberland, Cape May, Atlantic, and Gloucester counties","Salem County, Cumberland County, Cape May County, Atlantic County, Gloucester County",9,http://theshore1063.com/,1,3,"Coastal Broadcasting Systems, Inc",1,2,2,9,has crime articles but that's the only news,,
"5, 15, 2, 6",WKXW-FM,Trenton,Trenton,Urban,https://nj1015.com/category/new-jersey-news/,1,3,Townsquare Media Inc.,1,2,2,9,"""New Jersey News and Talk"" http://www.townsquaremedia.com/local-media",,
"18, 6, 2",WLIW-TV,"Bergen, Passaic, Hudson, Essex, and Union counties ","Bergen County, Passaic County, Hudson County, Essex County, Union County",9,https://www.wliw.org/,1,2,New York Public Media,1,2,1,1,,,
"18, 6, 2",WLVT-TV,"Mercer, Somerset, Morris, Warren, Hunterdon, and Sussex counties","Mercer County, Somerset County, Morris County, Warren County, Hunterdon County, Sussex County",9,https://www.wlvt.org/,1,2,Lehigh Valley Public Telecommunications Corporation,1,2,1,1,,,
5,WMBA-TV,Bloomfield,Bloomfield,Urban,http://www.wbmatv.com/,1,2,Municiple ownership (Bloomfield Municipality),1,2,1,9,,,
"5, 2, 6, 16",WMBC-TV,"Sussex County/ Urban (0), Suburban (3), Rural(21)",Sussex County,Rural,https://wmbctv.com/,1,2,Mountain Broadcasting Corporation,7,1,2,1,"WMBC News, a daily production of WMBC-TV, features local news and community events in the tri-state metropolitan region, including Sussex County, NJ. We air foreign language news and information, as well as an array of international programs. Our schedule also features a lineup of Children's programming that is fun as well as educational and informative. WMBC-TV is wholly owned by Mountain Broadcasting Corporation.  (& WMBC3, WMBC4)",,
"5, 6, 2",WMCN TV,"Princeton (Suburban), Waterford Works (Suburban/Rural), Cedar Brook (Suburban), Atco (Rural), Berlin (Suburban), Winslow (Suburban, Sicklerville, West Berlin (Suburban), Hammonton (Rural), Marlton (Suburban), Williamstown (Suburban)","Princeton, Waterford Works, Cedar Brook, Atco, Berlin, Winslow, Sicklerville, West Berlin, Hammonton, Marlton, Williamstown",Suburban,9,1,2,"WRNN-TV Associates LP or Lenfest Broadcasting, LLC",1,2,2,1,"WMCN-TV, UHF digital channel 44, is an independent television station serving Philadelphia, Pennsylvania, United States that is licensed to Atlantic City, New Jersey. The station is owned by Lenfest Broadcasting, LLC. WMCN maintains studio facilities in Cherry Hill, New Jersey, and its transmitter is located in Waterford Works, New Jersey. It is also carried throughout the market by DirecTV, Dish Network, Verizon FiOS and on most Comcast cable systems. WMCN is also carried on cable in Ocean County (part of the New York City television market) on Comcast channel 27 in standard definition, and on digital channel 794 in high definition.",,
"6, 16",WMGM-TV,"Gloucester, Camden, Cumberland, Cape May, Burlington, Ocean and Salem counties","Gloucester County, Camden County, Cumberland County, Cape May County, Burlington County, Ocean County, Salem County",9,https://philadelphia.cbslocal.com/,1,2,CBS,1,2,2,1,,,
"5, 2",WMID-AM,"Atlantic City (Urban), Cape May (Urban)","Atlantic City, Cape May",Urban,https://www.classicoldieswmid.com/,1,3,Equity Communications,1,2,2,9,(same as WCMC),,
"5, 16, 2",WMIZ-AM,"Cape May, Cumberland, Gloucester, Camden, Salem, Atlantic, Burlington, and Ocean counties","Cape May County, Cumberland County, Gloucester County, Camden County, Salem County, Atlantic County, Burlington County, Ocean County",9,http://wmizradio.com/index1.html,1,3,"Clear Communications, Inc.",7,1,2,9,spanish and english,,
"5, 16, 2",WMVB-AM,"Vineland (Urban), Millville (Urban)","Vineland, Millville",Urban,9,1,3,Univision,7 (spanish and english),1,2,9,http://www.radio-locator.com/cgi-bin/finder?sr=Y&s=C&call=WMVB&x=0&y=0,,
"18, 6, 16",WNDT-CD,"Union, Essex, Bergen, Passaic, and Hudson County","Union, Essex, Bergen, Passaic, and Hudson County",9,9,1,2,WNET,1,1,1,1,https://www.wnet.org/about/mhz-worldview/about-wndt/,,
"5, 6, 2",WNET-TV,"Sussex, Passaic, Bergen, Essex, Union, Morris Warren, Hunterdon, Somerset, Middlesex, Monmouth, Ocean, Mercer, and Burlington counties",9,9,https://www.wnet.org/,1,2,WNET,1,2,1,1,"also owns WLIW, NJTV, WNDT, WMBQ",,
"5, 6",WNJB-FM,9,9,9,9,1,3,"WHYY, Inc.",1,2,1,9,"WNJB-FM is a radio station licensed to Bridgeton, New Jersey. The station is owned by WHYY, Inc., and simulcasts the public radio news and talk programming of WHYY-FM in Philadelphia, Pennsylvania. Wikipedia",,
"5, 2",WNJC-AM,"Ocean, Burlington, Camden, Gloucester, Salem, Cumberland, Atlantic, and Cape May counties","Ocean County, Burlington County, Camden County, Gloucester County, Salem County, Cumberland County, Atlantic County, Cape May County",9,9,1,3,Forsythe Broadcasting LLC,1,2,2,9,,,
5,WNJM-FM,"Ocean/ Urban (1), Suburban (22), Rural (10), Burlington/ Urban (10), Suburban (12), Rural (17), and Atlantic/ Urban (1), Suburban (9), Rural (13)  counties","Ocean County, Burlington County, Atlantic County",Suburban,9,1,3,WHYY,1,2,1,9,https://radio-locator.com/info/WNJM-FM; no coverage map,,
5,WNJN-FM,"Ocean, Burlington, Atlantic, Salem, Camden, Gloucester, Cumberland, and Cape May counties",9,9,9,1,3,WHYY,1,2,1,1,re-broadcasts WHYY to south Jersey,,
"5, 6",WNJN-TV,9,9,9,9,1,2,NJTV,1,2,1,9,owned by NJTV; https://www.njtvonline.org/about/announcements/,,
"5, 2, 6, 16",WNJU-TV,"Warren, Sussex, Passaic, Bergen, Essex,Union, Morris, Somerset, Hunterdon, Mercer, Middlesex, Monmouth, Ocean, Burlington",9,9,https://www.telemundo47.com/,1,2,NBC Universal,2,1,2,9,,,
5,WNJZ-FM,"Cape May/ Urban (2), Suburban (10), Rural (2)",Cape May County,Suburban,9,1,3,WHYY,1,2,1,9,https://radio-locator.com/cgi-bin/pat?call=WNJZ&service=FM&status=L&hours=U,,
"5, 2",WNNJ-FM,"Sussex, Morris, Essex, Union, Warren, Hunterdon, Somerset, Middlesex, and Mercer counties","Sussex County, Morris County, Essex County, Union County, Warren County, Hunterdon County, Somerset County, Middlesex County, Mercer County",9,9,2,3,WNNJ,1,2,2,9, (show: Issues & Idea) http://www.issuesandideasradio.com/,,
"14, 2",WNTP-AM,statewide,9,9,https://newstalk990.com/,1,3,WNTP-AM and Salem Interactive Media,1,2,2,1,,,
"5, 6, 2",WNYC-FM,"Bergen, Passaic, Morris, Essex, Union, Middlesex, Somerset, Monmouth, and Hudson counties","Bergen County, Passaic County, Morris County, Essex County, Union County, Middlesex County, Somerset County, Monmouth County, Hudson County",9,https://www.wnyc.org/,1,3,New York Public Radio/New York City,1,2,1,1,"(simulcasts on WNJP-FM, WNJY-FM, WNJT-FM, WNJO-FM)",,
"5, 16, 2",WNYE-FM,"Sussex, Passaic, Bergen, Hudson, Essex, Morris, Warren, Hunterdon, Somerset, Middlesex, Mercer, Monmouth, Ocean, and Burlington counties",9,9,https://www1.nyc.gov/site/media/radio/radio-home.page,1,3,New York City,7,1,1,1,,,
"5, 2",WNYM-AM,statewide,9,9,https://am970theanswer.com/,1,3,Salem Media Group LLC,1,2,2,9,technically they're based in NJ but they call themselves an NYC station,,
"5, 15, 2",WOBM-AM,"Mercer, Middlesex, Monmouth, Burlington, Ocean, Camden, Atlantic, Gloucester, Salem, Cumberland, Cape May, and Atlantic counties",9,9,https://mybeachradio.com/,1,3,"Townsquare Media (Monmouth-Ocean License, LLC)",1,2,2,9,,,
"5, 2",WOBM-FM,"Atlantic, Camden, Burlington, Mercer, Middlesex, Monmouth, and Ocean counties",9,9,https://wobm.com/,1,3,"Townsquare Media (Monmouth-Ocean License, LLC)",1,2,2,9,this FM station and the corresponding AM station share a lot of content on their websites; has newscasts at the top of the hour according to Cision,,
"5, 2",WOND-AM,"Ocean, Burlington, Camden, Gloucester, Salem, Cumberland, Cape May, and Atlantic counties","Ocean County, Burlington County, Camden County, Gloucester County, Salem County, Cumberland County, Cape May County, Atlantic County",9,http://wondradio.com/,1,3,Longport Media,1,2,2,9,,,
2,"Woodbridge Channels, The",Woodbridge,Woodbridge,Urban,9,1,2,Woodbridge Township,1,2,1,9,"Features local programming, municipal, educational and community news for the Woodbridge Township, NJ area.",,
16,World Journal,9,9,9,https://www.worldjournal.com/,1,1,Independently owned,5,1,2,1,,,
"5, 16",WPAT-AM,"Burlington, Ocean, Monmouth, Middlesex, Somerset, Hunterdon, Mercer, Union, Essex, Hudson, Bergen, Passaic, Sussex, Warren, ",9,9,9,1,3,"Multicultural Radio Broadcasting Licensee, LLC",7,1,2,1,,,
"5, 2",WPGG-AM,"Burlington, Ocean, Camden, Atlantic, Gloucester, Salem, Cumberland, and Cape May counties","Burlington County, Ocean County, Camden County, Atlantic County, Gloucester County, Salem County, Cumberland County, Cape May County",9,https://wpgtalkradio.com/,1,3,"Townsquare Media Atlantic City License, LLC",1,2,2,9,,,
"15, 14, 6",WPHL-TV,"Altlantic, Cumberland, Salem, Gloucester, Camden, Burlington, Ocean, Monmouth, Middlesex, Somerset, Morris, Warren, Hunterdon, Mercer","Altlantic County, Cumberland County, Salem County, Gloucester County, Camden County, Burlington County, Ocean County, Monmouth County, Middlesex County, Somerset County, Morris County, Warren County, Hunterdon County, Mercer County",9,https://phl17.com/,1,2,Tribune Media Company,1,2,2,1,,,
"6, 14, 2",WPHT-AM,"Essex, Morris, Hunterdon, Somerset, Union,Mercer, Middlesex, Monmouth, Ocean, Burlington, Ocean, Gloucester, Camden, Salem, Atlantic, Cumberland, and Cape May counties",9,9,http://1210wpht.radio.com/,1,3,Entercom,1,2,2,1,,,
6,WPHY-CD,"Mercer, Hunterdon, Burlington, Middlesex, and Somerset counties","Mercer County, Hunterdon County, Burlington County, Middlesex County, Somerset County",9,9,1,2,NRJ TV LLC,1,2,2,9,No website,,
6,WPPT-TV,9,9,9,9,1,2,Lehigh Valley Public Telecommunications Corp,1,2,1,1,sister station to Allentown-licensed PBS member WLVT-TV,,
6,WPPZ-FM,"Burlington/ Urban (10), Suburban (12), Rural (17), Camden/ Urban (14), Suburban (21), Rural (2), Gloucester/ Urban (2), Suburban (14), Rural (13)","Burlington County, Camden County, Gloucester County",Suburban,http://praisephilly.com/,1,3,Urban One Inc,1,2,2,1,,,
"6, 16",WPSJ-CD,"Burlington/ Urban (10), Suburban (12), Rural (17), Camden/ Urban (14), Suburban (21), Rural (2), Atlantic/ Urban (1), Suburban (9), Rural (13),and Gloucester/ Urban (2), Suburban (14), Rural (13)","Burlington County, Camden County, Atlantic County, Gloucester County",Suburban,9,1,2,HC2 Holdings Inc,1,2,2,1,No website: FCC listing https://publicfiles.fcc.gov/tv-profile/wpsj-cd,,
"15, 14, 6, 2",WPVI-TV,"Sussex, Morris, Essex, Union, Warren, Hunterdon, Somerset, Middlesex, Mercer, Monmouth, Ocean, Atlantic, Camden, Burlington, Gloucester, Salem, Cumberland, and Cape May counties","Sussex County, Morris County, Essex, Union, Warren, Hunterdon, Somerset, Middlesex, Mercer, Monmouth, Ocean, Atlantic, Camden, Burlington, Gloucester, Salem, Cumberland, and Cape May counties",9,https://6abc.com/,1,2,ABC/Disney,1,2,2,1,,,
6,WQAV-CD,"Ocean, Burlington, Atlantic, Salem, Camden, Gloucester, Cumberland, and Cape May counties",9,9,9,1,2,Local Media TV Holdings LLC,1,2,2,1,No website: FCC listing https://publicfiles.fcc.gov/tv-profile/wqav-cd,,
"5, 6, 2",WQXR-FM,"Middlesex/ Urban (9), Suburban (15), Rural (1), Union/ Urban (11), Suburban (10), Rural (0), Morris/ Urban (4), Suburban (32), Rural (3), Essex/ Urban (13), Suburban (9), Rural (0), Passaic/ Urban (11), Suburban (5), Rural (0), Bergen/Urban (46), Suburban (20), Rural (0), and Hudson/ Urban (12), Suburban (0), Rural (0)  ",9,Urban,9,1,3,New York Public Radio,1,2,1,1,"changed website to ""9"" becasue local news is not featured there",,
"5, 6, 2",WRNJ-AM,"Washington Township (Suburban), Hackettstown (Rural)","Washington Township, Hackettstown",6,http://www.wrnj.com/,1,3,"Independently owned (Wrnj Radio, Inc.)",1,2,2,9,,,
"6, 16, 2",WRNN-TV,"Sussex, Morris, Essex, Union, Warren, Hunterdon, Somerset, Middlesex, Monmouth, Mercer, and Ocean counties","Sussex County, Morris County, Essex County, Union County, Warren County, Hunterdon County, Somerset County, Middlesex County, Monmouth County, Mercer County, Ocean County",9,9,1,2,"WRNN LICENSE COMPANY, LLC",1,2,2,1,https://www.rnntv.com/wrnn-tv/,,
5,WRRC-FM,Trenton,Trenton,Urban,http://www.1077thebronc.com/,1,3,Rider University,1,2,2,9,,,
"5, 2",WRSU-FM,"Monmouth, Mercer, Somerset, Hunterdon, Union, Essex, and Sussex counties","Monmouth County, Mercer County, Somerset County, Hunterdon County, Union County, Essex County, Sussex County",9,http://radio.rutgers.edu/,1,3,Rutgers University,1,2,2,9,"""Newscasts at various times throughout the day""",,
"5, 6, 2",WSJO-FM,"Mercer, Monmouth,Ocean, Burlington, Camden, Gloucester, Salem, Cumberland, Atlantic,and Cape May counties",9,9,https://sojo1049.com/,1,3,Townsquare Media,1,2,2,9,has basically crime weather and listicle local news,,
"5, 2, 16",WSNJ-AM,"Ocean, Burlington, Atlantic, Salem, Camden, Gloucester, Cumberland, and Cape May counties","Ocean County, Burlington County, Atlantic County, Salem County, Camden County, Gloucester County, Cumberland County, Cape May County",9,9,1,3,Independently owned (SNJ Today),1,2,2,9,,,
"5, 2",WSOU-FM,"Mercer, Monmouth, Middlesex, Somerset, Hunterdon, Union, Essex, and Sussex counties","Mercer County, Monmouth County, Middlesex County, Somerset County, Hunterdon County, Union County, Essex County, Sussex County",9,http://www.wsou.net/,1,3,Seton Hall University,1,2,2,9,news about campus and community as it occurs; no regular newscast as far as I can tell,,
"5, 2",WTSR-FM,"Mercer County/ Urban (1), Suburban (7), Rural (4)",Mercer County,Suburban,http://wtsr.org/,1,3,The College of New Jersey,1,2,2,9,has hourly news updates,,
